report_id,bug_id,bug_category,severity,recurrent,bug_create_time,bug_page,title,description,img_url,test_case_name,test_case_front,test_case_behind,test_case_description
5d4e175ec9e77c000dab101b,5d4e185bc9e77c000dab101d,功能不完整,3,必现,2019/8/10 1:05,登录,输入错误的手机号，获取验证码提示信息不对,"1.进入登录界面
2.输入错误的手机号，如""123456""
3.点击获取验证码
4.直接提示验证码错误",http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1565399130093/1565399130093_错误手机号2.png,错误手机号-登录,网络正常,"1.进入登录界面
2.输入错误的手机号
3.点击获取验证码",提示 请输入正确的手机号
5d4e175ec9e77c000dab101b,5d4e18f3c9e77c000dab1025,功能不完整,5,必现,2019/8/10 1:08,登录,登录界面没有注册功能,"1.进入登录界面
2.观察页面
3.发现只有登录功能，而没有注册功能",http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1565399282568/1565399282568_没有注册功能7.png,没有注册功能,网络正常,"1.进入登录界面
2.观察功能设置",功能正常，有登录功能，有注册功能
5d4e175ec9e77c000dab101b,5d4e1a02c9e77c000dab102e,功能不完整,1,必现,2019/8/10 1:12,登录,获取验证码，无发送成功提示，且无倒计时提示,"1.进入登录页面
2.输入正确的手机号
3.点击获取验证码
4.手机确实能收到验证码，但是app点击获取的时候，无任何提示，在""获取验证码""后面，也没有下次再次发送的倒计时",http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1565399545308/1565399545308_获取验证码之后没有时间.png,获取验证码功能,网络正常,"1.进入登录页面
2.输入正确的手机号
3.点击获取验证码",有验证码已发送的提示且发送验证码有个时间倒计时之后可重新发送
5d4e175ec9e77c000dab101b,5d4e1bf5c9e77c000dab1047,功能不完整,2,必现,2019/8/10 1:20,个人界面-发布趣图-发布趣图,发布趣图-gif图片选择页面，无任何图片，却提示相册已满,"1.登录成功后进入首页
2.点击左上角的个人界面
3.点击发布趣图
4.点击""贴一张GIF图片""
5.进入GIF图片选择页面
6.没有任何图片的情况下，却提示""相册已满,请及时清理""",http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1565400030043/1565400030043_相册已满.png,发布趣图-相册已满,"1.网络正常
2.成功登录","1.登录成功后进入首页
2.点击左上角的个人界面
3.点击发布趣图
4.点击""贴一张GIF图片""
5.进入GIF图片选择页面",gif图片选择页面显示正常，并且可以进行添加，删除gif图片
5d4e175ec9e77c000dab101b,5d4e1d99c9e77c000dab1063,不正常退出,5,必现,2019/8/10 1:27,个人界面-简介编辑-简介编辑,点击简介编辑，软件崩溃，停止运行,"1.进入首页
2.进入左上角个人设置
3.点击""简介编辑""按钮
4.软件停止运行，弹出""很抱歉，""趣享GIF开源版""已停止运行""",http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1565400469377/1565400469377_停止运行9.png,个人界面-简介编辑,"1.网络正常
2.登录成功","1.进入首页
2.进入左上角个人界面
3.点击""简介编辑""按钮",成功出现编辑页面
5d4e175ec9e77c000dab101b,5d4e3233c9e77c000dab1240,不正常退出,5,必现,2019/8/10 2:55,个人界面-简介编辑-简介编辑,点击简介编辑，软件崩溃，停止运行,"1.进入首页
2.进入左上角个人界面
3.点击""简介编辑""按钮
4.软件停止运行，弹出""很抱歉，""趣享GIF开源版""已停止运行""",http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1565405729716/1565405729716_停止运行9.png,个人界面-简介编辑,"1.网络正常
2.登录成功","1.进入首页
2.进入左上角个人界面
3.点击""简介编辑""按钮",成功出现编辑页面
5d4e175ec9e77c000dab101b,5d4e1e85c9e77c000dab1072,不正常退出,5,必现,2019/8/10 1:31,个人界面-个人主页,点击个人主页中的编辑，软件崩溃,"1.进入首页
2.进入左上角个人设置
3.点击""个人主页""按钮
4.点击右边的编辑按钮
5.软件停止运行，提示""很抱歉，""趣享GIF开源版""已停止运行""",http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1565400706979/1565400706979_点击头像下的编辑8.png,个人设置-个人主页里的编辑,"1.网络正常
2.已登录","1.进入首页
2.进入左上角个人设置
3.点击""个人主页""按钮
4.点击右边的编辑按钮",成功出现编辑界面
5d4e175ec9e77c000dab101b,5d4e1f57c9e77c000dab107e,用户体验,3,必现,2019/8/10 1:35,个人界面-个人主页-个人主页,个人主页中，查看发布后，左上角返回，直接回到了首页，而不是个人主页,"1.进入首页
2.进入左上角个人设置
3.点击""个人主页""按钮
4.点击头像下面的发布
5.进入发布页面后，点击左上角的返回
6.直接回到了软件的首页，而不是""个人主页""界面","http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1565400905394/1565400905394_个人主页发布功能1.png,http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1565400912297/1565400912297_个人主页发布功能2.png,http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1565400915665/1565400915665_个人主页发布功能3.png",个人主页-发布,"1.网络正常
2.已登录","1.进入首页
2.进入左上角个人界面
3.点击""个人主页""按钮
4.点击头像下面的发布
5.进入发布页面后，点击左上角的返回",回到上一级，也就是个人主页的界面
5d4e175ec9e77c000dab101b,5d4e20c8c9e77c000dab108c,功能不完整,4,必现,2019/8/10 1:41,个人界面-个人主页-个人主页,发布趣图后的发布时间显示不对，以分钟记为了天数,"1.进入首页
2.进入左上角个人设置
3.点击""个人主页""按钮
4.查看发布动态的时间信息，发现他是以分钟当做天数的，刚发布，就提示一天前，然后每过一分钟，就增加一天","http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1565401215243/1565401215243_发布时间不对.png,http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1565401244254/1565401244254_四天前.png",发布时间不对,"1.网络正常
2.已登录
3.已发布一个动态","1.进入首页
2.进入左上角个人界面
3.点击""个人主页""按钮
4.查看发布的各方面信息，如发布时间等",各方面信息正常
5d4e175ec9e77c000dab101b,5d4e2202c9e77c000dab10a1,功能不完整,3,必现,2019/8/10 1:46,个人界面-头像上传-头像上传,个人界面-头像上传，点击无效,"1.进入首页
2.进入左上角个人设置
3.点击""个人主页""按钮
4.点击头像按钮
5.进入了个人界面后，再次点击头像
6.无反应，无法进行头像的上传",http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1565401599939/1565401599939_头像上传.png,个人界面-头像设置,"1.网络正常
2.已登录","1.进入首页
2.进入左上角个人界面
3.点击""个人主页""按钮
4.点击头像按钮
5.进入了个人主页界面后，再次点击头像",提示选择照片当为头像
