report_id,bug_id,bug_category,severity,recurrent,bug_create_time,bug_page,title,description,img_url,test_case_name,test_case_front,test_case_behind,test_case_description
6055820846e0fb000deb06c7,605592cf46e0fb000deb0dcf,其他,1,其他,2021/3/20 6:14,评价-评价-评价,综合而言，我认为普华排第一位，优麒麟排第二位，在普华中，用户能流畅的使用系统，不会出现卡顿,普华优于优麒麟,,是否能正常安装,"1.提前下载VMware虚拟机
2.需要信创操作系统普华与优麒麟的镜像文件
3.根据需要进行安装","1.在VMware中新建虚拟机
2.添加镜像文件
3.完成安装",能正常安装
6055820846e0fb000deb06c7,6055938146e0fb000deb0e32,功能不完整,3,必现,2021/3/20 6:17,普华-功能性-功能性,在选择新建会话时，出现卡顿,在选择新建会话时，出现卡顿,http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1616221052378/1616221052378_微信图片_20210320141718.png,是否能正常安装,"1.提前下载VMware虚拟机
2.需要信创操作系统普华与优麒麟的镜像文件
3.根据需要进行安装","1.在VMware中新建虚拟机
2.添加镜像文件
3.完成安装",能正常安装
6055820846e0fb000deb06c7,60558f0e46e0fb000deb0c35,功能不完整,3,必现,2021/3/20 5:58,优麒麟-功能性-功能性,字体数据库缺失,字体数据库缺失,http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1616219916725/1616219916725_微信图片_20210320135828.png,是否能够正常使用文本编辑器,"1.安装好系统
","1.点击开始键
2.点击程序
3.点击工具
4.打开文本编辑器",成功打开文本编辑器
6055820846e0fb000deb06c7,6055868446e0fb000deb0883,功能不完整,3,必现,2021/3/20 5:22,普华-功能性-功能性,搜索框中不能输入中文,已经选择了中文输入法，但是仍然输入不了中文,"http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1616217659722/1616217659722_微信图片_20210320132034.png,http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1616217695994/1616217695994_微信图片_20210320132126.png",是否能够正常使用网页浏览器,"1.安装好操作系统
","1.点击开始键
2.选择程序
3.选择互联网
4.打开网页浏览器",成功打开网页浏览器
6055820846e0fb000deb06c7,60558d6b46e0fb000deb0b70,用户体验,3,小概率复现,2021/3/20 5:51,普华-功能性-功能性,打开谷歌搜索出现错误,无法显示网页,http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1616219499322/1616219499322_微信图片_20210320135120.png,是否能够正常使用网页浏览器,"1.安装好操作系统
","1.点击开始键
2.选择程序
3.选择互联网
4.打开网页浏览器",成功打开网页浏览器
6055820846e0fb000deb06c7,60558b5f46e0fb000deb0aa2,页面布局缺陷,2,必现,2021/3/20 5:42,普华-功能性-功能性,时间显示的格式错误,错误显示为1：41,http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1616218942993/1616218942993_微信图片_20210320134207.png,时间显示是否为长时间HH时MM分SS秒，短时间为HH:MM:SS,1.安装好系统,1.查看右下角的时间格式,正常显示时间格式
6055820846e0fb000deb06c7,60558ea046e0fb000deb0c0b,页面布局缺陷,2,必现,2021/3/20 5:56,优麒麟-功能性-功能性,正常显示为星期六，并非周六,正常显示为星期六，并非周六,http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1616219805016/1616219805016_微信图片_20210320135637.png,时间显示是否为长时间HH时MM分SS秒，短时间为HH:MM:SS,1.安装好系统,1.查看右下角的时间格式,正常显示时间格式
6055820846e0fb000deb06c7,6055906e46e0fb000deb0cf9,功能不完整,3,必现,2021/3/20 6:04,优麒麟-功能性-功能性,不能修改桌面分辨率,桌面没有反应,"http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1616220262902/1616220262902_微信图片_20210320140152.png,http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1616220268655/1616220268655_微信图片_20210320140155.png",检查是否可以修改桌面分辨率,1.安装好操作系统,"1.打开设置
2.选择桌面
3.修改桌面分辨率",正常修改桌面分辨率
6055820846e0fb000deb06c7,6055943446e0fb000deb0e80,功能不完整,3,必现,2021/3/20 6:20,普华-功能性-功能性,不能修改桌面分辨率,没有桌面分辨率修改的设置,http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1616221235802/1616221235802_微信图片_20210320142027.png,检查是否可以修改桌面分辨率,1.安装好操作系统,"1.打开设置
2.选择桌面
3.修改桌面分辨率",正常修改桌面分辨率
6055820846e0fb000deb06c7,6055919346e0fb000deb0d64,功能不完整,3,必现,2021/3/20 6:09,优麒麟-功能性-功能性,win e打开文件管理器的快捷键不能使用,win e打开文件管理器的快捷键不能使用,http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1616220537787/1616220537787_微信图片_20210320140851.png,检查快捷键是否能正常使用,1.安装好两个系统,1.对快捷键进行调试,快捷键能正常使用
