report_id,bug_id,bug_category,severity,recurrent,bug_create_time,bug_page,title,description,img_url,test_case_name,test_case_front,test_case_behind,test_case_description
5f8291854cedfd000e58859c,5f8293814cedfd000e5885e6,页面布局缺陷,3,必现,2020/10/11 5:09,Word-其他-其他,鼠标放置首页“立即体验”按钮图片上无法显示图片,"1，用户进入首页
2，鼠标放置“立即体验”上
3，“立即体验”无法显示",http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1602392952707/1602392952707_1.png,测试“首页”功能是否正常,1，用户进入首页,"1，鼠标放置首页“立即体验”按钮图标上
2，点击“立即体验”",鼠标放置“立即体验”按钮显示正常，用户进入软件
5f8291854cedfd000e58859c,5f82960b4cedfd000e588688,功能不完整,3,必现,2020/10/11 5:20,Word-其他-其他,鼠标放置首页“立即体验”按钮图片上无法显示图片,"1，鼠标放置首页word轮播框“立即体验”按钮上
2，“立即体验”按钮无法正常显示","http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1602393600314/1602393600314_2-1.png,http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1602393606233/1602393606233_2-2.png",测试首页轮播框轮播至word立即体验按钮功能是否正常,"1，用户进入首页
2，轮播框轮播至word","1，鼠标放置首页“立即体验”按钮图标上
2，点击“立即体验”",鼠标放置“立即体验”按钮显示正常，用户进入软件
5f8291854cedfd000e58859c,5f8296a84cedfd000e5886b1,其他,3,必现,2020/10/11 5:22,EXCEL-其他-其他,鼠标放置首页“立即体验”按钮图片上无法显示图片,"1，鼠标放置首页Excel轮播框“立即体验”按钮上
2，“立即体验”按钮无法正常显示","http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1602393755809/1602393755809_3-1.png,http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1602393765597/1602393765597_3-2.png",测试首页轮播框轮播至Excel立即体验按钮功能是否正常,"1，用户进入首页
2，轮播框轮播至Excel","1，鼠标放置首页“立即体验”按钮图标上
2，点击“立即体验”",鼠标放置“立即体验”按钮显示正常，用户进入软件
5f8291854cedfd000e58859c,5f8297404cedfd000e5886e5,功能不完整,3,必现,2020/10/11 5:25,EXCEL-其他-其他,鼠标放置首页“立即体验”按钮图片上无法显示图片,"1，鼠标放置首页Excle轮播框“立即体验”按钮上
2，“立即体验”按钮无法正常显示","http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1602393910815/1602393910815_3-1.png,http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1602393918797/1602393918797_3-2.png",测试首页轮播框轮播至Excel立即体验按钮功能是否正常,"1，用户进入首页
2，轮播框轮播至Excel","1，鼠标放置首页“立即体验”按钮图标上
2，点击“立即体验”",鼠标放置“立即体验”按钮显示正常，用户进入软件
5f8291854cedfd000e58859c,5f8296fd4cedfd000e5886c8,功能不完整,3,必现,2020/10/11 5:24,PowerPoint-其他-其他,鼠标放置首页“立即体验”按钮图片上无法显示图片,"1，鼠标放置首页PowerPoint轮播框“立即体验”按钮上
2，“立即体验”按钮无法正常显示","http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1602393845913/1602393845913_4-1.png,http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1602393851107/1602393851107_4-2.png",测试首页轮播框轮播至PowerPoint立即体验按钮功能是否正常,"1，用户进入首页
2，轮播框轮播至PowerPoint","1，鼠标放置首页“立即体验”按钮图标上
2，点击“立即体验”",鼠标放置“立即体验”按钮显示正常，用户进入软件
5f8291854cedfd000e58859c,5f829b374cedfd000e588806,功能不完整,4,必现,2020/10/11 5:42,EXCEL-其他-其他,点击word编辑页面左上角”返回“按钮无法返回,"1，点击左上角的”返回“按钮
2，无法返回",http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1602394934226/1602394934226_6-1.png,测试word编辑页面左上角”返回“按钮功能是否正常,1，用户进入word编辑页面,1，鼠标点击页面左上角“返回”按钮,正常返回上一个页面
5f8291854cedfd000e58859c,5f829b9a4cedfd000e588855,功能不完整,4,必现,2020/10/11 5:43,EXCEL-其他-其他,点击Excel编辑页面左上角”返回“按钮无法返回,"1，点击左上角的”返回“按钮
2，无法返回",http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1602395013599/1602395013599_5-2.png,测试Excel编辑页面左上角”返回“按钮功能是否正常,1，用户进入Excel编辑页面,1，鼠标点击页面左上角“返回”按钮,正常返回上一个页面
5f8291854cedfd000e58859c,5f829cd84cedfd000e5888cc,功能不完整,4,必现,2020/10/11 5:49,PowerPoint-其他-其他,点击PowerPoint编辑页面左上角”返回“按钮无法返回,"1，点击左上角的”返回“按钮
2，无法返回",http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1602395349160/1602395349160_7-1.png,测试PowerPoint编辑页面左上角”返回“按钮功能是否正常,1，用户进入PowerPoint编辑页面,1，鼠标点击页面左上角“返回”按钮,正常返回上一个页面
5f8291854cedfd000e58859c,5f82a1854cedfd000e588a52,功能不完整,4,必现,2020/10/11 6:09,Word-其他-其他,word编辑页面右上角分享页面中公开链接共享功能无法实现共享,"1，用户在编辑页面输入任意内容，例如输入“1111”
2，保存内容
3，点击右上角“分享”按钮
4，打开公开链接共享
5，复制公开链接的网址
6，点击完成
7，浏览器新建窗口，输入刚刚复制的网址链接
8，点击共享的文件
9，共享的文件是空白文件，无法显示用户之前编辑的内容","http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1602396430673/1602396430673_8-1.png,http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1602396471089/1602396471089_8-2.png,http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1602396498632/1602396498632_8-3.png,http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1602396524508/1602396524508_8-4.png",测试word编辑页右上角分享功能是否正常,"1，用户进入Word编辑页面
","1，用户在编辑页面输入任意内容，例如输入“1111”
2，保存内容
3，点击右上角“分享”按钮
4，打开公开链接共享
5，复制公开链接的网址
6，点击完成
7，浏览器新建窗口，输入刚刚复制的网址链接
8，点击共享的文件",共享的文件能正常显示之前编辑的内容
5f8291854cedfd000e58859c,5f82a3ec4cedfd000e588aed,功能不完整,4,必现,2020/10/11 6:19,Word-其他-其他,word编辑页面右上角分享页面中公开链接共享功能无法实现共享,"1，用户在编辑页面输入任意内容，例如输入“1111”
2，保存内容
3，点击右上角“分享”按钮
4，打开公开链接共享
5，复制公开链接的网址
6，点击完成
7，浏览器新建窗口，输入刚刚复制的网址链接
8，点击共享的文件
9，共享的文件是空白文件，无法显示用户之前编辑的内容","http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1602397130604/1602397130604_10-1.png,http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1602397136076/1602397136076_10-2.png,http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1602397139993/1602397139993_10-3.png,http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1602397161892/1602397161892_10-4.png",测试word编辑页右上角分享功能是否正常,"1，用户进入Word编辑页面
","1，用户在编辑页面输入任意内容，例如输入“1111”
2，保存内容
3，点击右上角“分享”按钮
4，打开公开链接共享
5，复制公开链接的网址
6，点击完成
7，浏览器新建窗口，输入刚刚复制的网址链接
8，点击共享的文件",共享的文件能正常显示之前编辑的内容
